"COSS","X",0,1093773077,21110
"AMB","X",0,1100426359,49314
"DNT","X",0,1071927037,4854
"XDN","D",5,1006926635,3298
"POA","D",5,1011735555,4784
"TNT","X",0,985942779,41314
"VITE","X",0,1042434198,5283
"JNT","X",0,1018602643,4632
"MET","X",0,910837448,6599
"ARN","X",0,975642774,32932
"KEY","X",0,956742104,2327
"NLG","E",3,929534760,38910
"APPC","X",0,945378806,4905
"FOTA","X",0,873309350,2248
"ZCL","X",0,1364619242,3781
"MLN","X",0,1024438133,32530
"WPR","X",0,917609237,21417
"PRG","X",0,821826696,1812
"RHOC","D",6,941499543,59217
"PLR","X",0,892967713,30124
"FUEL","X",0,923633976,3335
"BAY","X",0,965058290,2021
"BURST","D",5,899677615,1628
"GTC","X",0,856420871,24524
"SAFEX","X",0,799108810,42611
"RFR","X",0,834417007,39011
"MOBI","X",0,849585651,25710
"MTH","X",0,767840395,42112
"CSC","X",0,816838337,31914
"GAME","D",4,802052406,2234
"AST","X",0,741587792,4047
"LBC","X",0,803545305,5811
"IHT","X",0,791574004,24512
"CPC","X",0,764550086,2348
"VIB","X",0,713091710,22322
"BPT","X",0,767247838,23828
"CDT","X",0,714359275,2224
"OAX","X",0,679307760,18714
"YOYOW","X",0,713307238,1571
"SLS","E",1,742795609,1598
"BTCP","D",4,764117657,5634
"SUB","X",0,703950412,44711
"LUN","X",0,761395195,15911
"XPM","X",0,720743593,2021
"LGO","X",0,556995490,11420
"PPP","X",0,560048955,2475
"UTNP","X",0,722838071,27323
"PASC","X",0,701504448,4244
"SEELE","X",0,759592560,24445
"MWAT","X",0,659088176,21723
"PLBT","X",0,571413263,18426
"INT","X",0,707410874,3273
"BCPT","X",0,616982321,21524
"MDT","X",0,615412304,25815
"CPT","X",0,597381362,1167
"CHSB","X",0,592502496,25112
"SWM","X",0,757243181,2605
"CAS","X",0,610031561,20712
"GNX","X",0,602422602,29755
"LYM","X",0,589194676,2087
"XCP","D",5,608901050,3848
"ADT","X",0,594164959,1760
"PST","X",0,748457495,33911
"BLK","D",6,575797017,15131
"AEON","D",5,548614218,38663
"POT","E",3,641071280,1454
"NTK","X",0,509794241,26862
"CLO","X",0,553382805,3952
"BTO","X",0,562555700,39310
"IOC","D",5,483117232,28834
"NEU","X",0,503782619,1540
"UKG","X",0,536619685,1997
"AURA","X",0,587164646,29911
"SWFTC","X",0,517039424,20724
"GEN","X",0,508082806,25512
"BTX","X",0,508887807,3336
"XBY","D",5,490151792,1624
"WINGS","X",0,495732464,32857
"BAX","X",0,479454648,3518
"SPC","X",0,479512307,1527
"INK","X",0,463566021,1803
"ZPT","X",0,462752534,20538
"COB","X",0,472128399,18512
"FTC","D",5,440777003,3133
"LINDA","X",0,449724118,1392
"ONION","X",0,484356622,31238
"ZCN","X",0,425346092,2056
"NGC","X",0,416665497,2053
"DCT","X",0,449814949,4814
"DCC","X",0,482898057,1938
"TFD","X",0,433878274,24724
"DPY","X",0,427393230,15913
"REM","X",0,405587766,55312
"QUN","X",0,390406969,24924
"GIN","X",0,375051113,1615
"SPANK","X",0,373907383,3596
"VRC","X",0,367789775,16014
"CV","X",0,359521191,14513
"THC","D",4,448209230,18431
"CRW","X",0,331843288,1671
"CBC","X",0,337019047,1349
"XAUR","X",0,362747317,14112
"ZCO","X",0,359685259,2224
"TAU","X",0,345989528,4481
"PHR","X",0,332393990,3858
"NCT","X",0,338936871,21147
"HST","X",0,302952255,16859
"UBT","X",0,360954752,2762
"PPY","X",0,347952471,3991
"CHAT","X",0,310832635,1472
"DMD","X",0,306357919,1312
"KICK","X",0,376785097,36033
"UP","X",0,289790904,3414
"DADI","X",0,310382168,4941
"ION","X",0,322723510,3651
"MUE","X",0,300856525,18221
"RVR","X",0,307868853,2111
"SKB","X",0,327441314,1893
"SNC","X",0,290324514,11517
"ZAP","X",0,232525912,2224
"SLR","X",0,294921882,2173
"SENT","X",0,336645600,17920
"UUU","X",0,269847030,23754
"GSC","X",0,265214332,22896
"PCL","X",0,272263939,1576
"BLT","X",0,243175492,4652
"DICE","X",0,272086850,3914
"LIFE","X",0,295764301,18323
"BMC","X",0,262701920,27513
"BOT","X",0,228403358,2130
"NLC2","X",0,236146571,3702
"YEE","X",0,251919965,18812
"SPHTX","X",0,277702235,1432
"SOUL","X",0,217258712,23612
"XDCE","X",0,234531669,3024
"GRC","X",0,233734103,3350
"SS","X",0,191585396,23717
"AMP","X",0,215000227,1691
"HMQ","X",0,211403157,1708
"BCI","X",0,213639589,3085
"RISE","E",2,152092962,4857
"MOT","X",0,198774431,1085
"BKX","X",0,206548144,24021
"MTN","X",0,212777285,17011
"SHIP","X",0,178462694,1793
"COV","X",0,205139069,17211
"OMNI","X",0,192631392,1361
"DAG","X",0,236404702,4258
"GUP","E",1,173025970,12621
"STQ","X",0,182102935,31439
"ZSC","X",0,192719597,30818
"RBY","X",0,239378006,14814
"XP","X",0,176982485,18012
"TRST","X",0,118536160,61326
"ELEC","X",0,160734690,22711
"EKO","X",0,154447505,1616
"DAT","X",0,147271288,29732
"STK","X",0,162814155,14021
"TIME","X",0,151431331,26524
"SIB","D",4,136566119,28515
"DEV","X",0,125783707,2086
"SWT","X",0,123901794,12212
"PRA","X",0,131915368,37223
"CAPP","X",0,133305375,27115
"MNX","X",0,119411543,1563
"QBT","X",0,127082581,2351
"TNC","X",0,154718611,3262
"NOTE","X",0,115454708,1372
"IDH","X",0,114433078,15712
"STX","X",0,114893190,18517
"BBC","X",0,96279744,16635
"TIX","X",0,94726939,15748
"UQC","X",0,96265776,1295
"SENC","X",0,96937450,14917
"EXY","X",0,77425689,1395
"MTX","X",0,70316633,30929
"DXT","X",0,67822282,15615
"COFI","X",0,77895329,31314
"OPTI","X",0,66348814,1225
"IXT","X",0,66691707,22229
"UBC","X",0,54575382,20234
"BEE","X",0,58451017,19914
"J8T","X",0,48076548,22540
"VULC","X",0,43948789,27330
"PARETO","X",0,38308532,18010
"RCT","X",0,35769916,1671
"LALA","X",0,26658021,1647
"RNTB","X",0,14495376,17511
"COLX","X",0,444290009,1846
"MOD","X",0,401739292,1965
"SOAR","X",0,201152051,1099
"MYST","X",0,159345909,45015
"EXP","E",1,123068973,1823
"NVC","E",1,99480721,21015
"PURA","D",4,71806648,1551
"FID","X",0,29454623,22759
